mood,energy_level,sleep_quality,music_preference,movie_preference,book_preference,recommended_song,recommended_movie,recommended_book,suggested_hobby,tip_for_today
happy,high,good,pop,comedy,fiction,Happy - Pharrell | Walking on Sunshine,The Intern | Little Miss Sunshine,The Alchemist | Anne of Green Gables,dance | journaling,Enjoy this lightness — let it fuel you
happy,medium,good,indie,romance,fiction,Sunroof | Golden Hour,Before Sunrise | About Time,Beach Read | Love & Other Words,photo walk | playlist making,Savor the small joys today
happy,high,average,pop,animation,fiction,Can’t Stop the Feeling | Good as Hell,Inside Out | Toy Story,The Little Prince | Wonder,sketching | calling a friend,Your joy is valid and grounding
happy,medium,good,acoustic,drama,non-fiction,Banana Pancakes | Better Together,The Secret Life of Walter Mitty,Atomic Habits | Ikigai,mindful walking,Stay present with this feeling
happy,high,good,dance,musical,fiction,Levitating | Shut Up and Dance,La La Land | Mamma Mia,Daisy Jones & The Six,singing,Share your happiness freely
,,,,,,,,,,
sad,low,poor,acoustic,drama,fiction,Fix You | Skinny Love,Manchester by the Sea | Blue Valentine,A Little Life | The Kite Runner,writing feelings,It’s okay to feel heavy today
sad,low,average,indie,drama,fiction,Cherry Wine | To Build a Home,Her | Eternal Sunshine,Normal People | Norwegian Wood,crying + rest,Be gentle with yourself
sad,medium,poor,lofi,romance,fiction,Saturn | Moon Song,Call Me By Your Name,Me Before You | Fault in Our Stars,warm shower,You don’t need to rush healing
sad,low,poor,classical,drama,fiction,River | Clair de Lune,Portrait of a Lady on Fire,The Bell Jar,slow stretching,Rest is productive too
sad,medium,average,acoustic,coming-of-age,fiction,I Will Follow You Into the Dark,Lady Bird,The Perks of Being a Wallflower,journaling,"Feelings pass, even when slow"
,,,,,,,,,,
angry,high,poor,rock,action,non-fiction,Smells Like Teen Spirit | Numb,Joker | Fight Club,The Subtle Art of Not Giving a F*ck,workout,Release — don’t suppress
angry,medium,poor,rap,thriller,non-fiction,Lose Yourself | HUMBLE,Gone Girl | Nightcrawler,Can’t Hurt Me,cleaning aggressively,Channel energy safely
angry,high,average,metal,action,fiction,Duality | Enter Sandman,Mad Max Fury Road,The Hunger Games,running,Pause before reacting
